--------- beginning of /dev/log/system
01-01 00:00:10.639 I/Vold    (  104): Vold 2.1 (the revenge) firing up
01-01 00:00:10.649 D/Vold    (  104): Volume sdcard1 state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:00:10.649 D/Vold    (  104): Volume usbdisk state changing -1 (Initializing) -> 0 (No-Media)
01-01 00:00:20.149 I/SystemServer(  491): Entered the Android system server!
01-01 00:01:11.889 W/BackupManagerService(  491): dataChanged but no participant pkg='com.android.camera2' uid=10030
01-01 00:01:12.219 W/InputMethodManagerService(  491): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@21b9f058 attribute=null, token = android.os.BinderProxy@21b9b620
01-01 00:01:12.319 I/ActivityManager(  491): Waited long enough for: ServiceRecord{21be7014 u0 com.google.android.googlequicksearchbox/com.google.android.search.core.service.SearchService}
01-01 00:01:12.439 I/ActivityManager(  491): Delay finish: com.google.android.gm/.MailIntentReceiver
01-01 00:01:12.449 I/ActivityManager(  491): Resuming delayed broadcast
01-01 00:01:12.469 I/ActivityManager(  491): Delay finish: com.google.android.syncadapters.contacts/.ContactsSyncAdapterBroadcastReceiver
01-01 00:01:12.599 I/ActivityManager(  491): Resuming delayed broadcast
01-01 00:01:12.719 I/ActivityManager(  491): Killing 696:com.android.printspooler/u0a65 (adj 15): empty #17
01-01 00:01:12.839 I/ActivityManager(  491): Start proc com.google.android.youtube for broadcast com.google.android.youtube/com.google.android.apps.youtube.core.transfer.DownloadService$BootReceiver: pid=1410 uid=10072 gids={50072, 3003, 1028, 1015}
01-01 00:01:12.969 I/ActivityManager(  491): Waited long enough for: ServiceRecord{21b56c48 u0 com.google.android.calendar/com.android.calendar.alerts.InitAlarmsService}
01-01 00:01:13.449 W/Vold    (  104): Returning OperationFailed - no handler for errno 30
01-01 00:01:13.449 W/Vold    (  104): Returning OperationFailed - no handler for errno 30
01-01 00:01:14.529 W/Vold    (  104): Returning OperationFailed - no handler for errno 30
01-01 00:01:14.539 W/Vold    (  104): Returning OperationFailed - no handler for errno 30
01-01 00:01:14.589 W/Vold    (  104): Returning OperationFailed - no handler for errno 30
01-01 00:01:14.719 W/Vold    (  104): Returning OperationFailed - no handler for errno 30
01-01 00:01:14.809 I/ActivityManager(  491): Config changes=480 {1.0 ?mcc?mnc en_US ldltr sw400dp w640dp h374dp 240dpi nrml land finger -keyb/v/h -nav/h s.6}
01-01 00:01:15.319 W/BackupManagerService(  491): dataChanged but no participant pkg='com.android.camera2' uid=10030
01-01 00:01:15.319 W/BackupManagerService(  491): dataChanged but no participant pkg='com.android.camera2' uid=10030
01-01 00:01:15.579 W/Vold    (  104): Returning OperationFailed - no handler for errno 30
01-01 00:01:15.609 W/Vold    (  104): Returning OperationFailed - no handler for errno 30
01-01 00:01:16.409 I/WindowManager(  491): Screen frozen for +1s721ms due to Window{21a9051c u0 com.android.camera2/com.android.camera.CameraLauncher}
01-01 00:01:16.479 I/ActivityManager(  491): Killing 925:com.google.android.apps.magazines/u0a50 (adj 15): empty #17
01-01 00:01:16.789 W/ActivityManager(  491): Unable to start service Intent { act=com.google.android.gms.analytics.service.START cmp=com.google.android.gms/.analytics.service.AnalyticsService (has extras) } U=0: not found
01-01 00:01:17.059 I/ActivityManager(  491): Delay finish: com.google.android.gms/.common.download.DownloadAlarmReceiver
01-01 00:01:17.209 I/ActivityManager(  491): Resuming delayed broadcast
01-01 00:01:17.279 I/ActivityManager(  491): Start proc com.google.android.music:main for broadcast com.google.android.music/.store.MediaStoreImportService$Receiver: pid=1481 uid=10053 gids={50053, 3003, 1028, 1015}
01-01 00:01:17.879 I/ActivityManager(  491): Delay finish: com.android.providers.calendar/.CalendarProviderBroadcastReceiver
01-01 00:01:17.919 I/ActivityManager(  491): Resuming delayed broadcast
01-01 00:01:17.989 I/ActivityManager(  491): Delay finish: com.google.android.music/.store.MediaStoreImportService$Receiver
01-01 00:01:17.999 I/ActivityManager(  491): Resuming delayed broadcast
01-01 00:01:18.099 I/ActivityManager(  491): Delay finish: com.google.android.gm/.MailIntentReceiver
01-01 00:01:18.119 I/ActivityManager(  491): Resuming delayed broadcast
01-01 00:01:18.449 I/ActivityManager(  491): Killing 983:com.android.dialer/u0a5 (adj 15): empty #17
01-01 00:01:21.799 W/ActivityManager(  491): Unable to start service Intent { act=com.google.android.gms.analytics.service.START cmp=com.google.android.gms/.analytics.service.AnalyticsService (has extras) } U=0: not found
01-01 00:01:27.999 I/ActivityManager(  491): Killing 1059:com.google.android.configupdater/u0a2 (adj 15): empty #17
01-01 00:01:30.939 D/ConnectivityService(  491): Sampling interval elapsed, updating statistics ..
01-01 00:01:30.949 D/ConnectivityService(  491): Done.
01-01 00:01:30.949 D/ConnectivityService(  491): Setting timer for 720seconds
01-01 00:13:31.379 D/ConnectivityService(  491): Sampling interval elapsed, updating statistics ..
01-01 00:13:31.389 D/ConnectivityService(  491): Done.
01-01 00:13:31.389 D/ConnectivityService(  491): Setting timer for 720seconds
01-01 00:25:32.049 D/ConnectivityService(  491): Sampling interval elapsed, updating statistics ..
01-01 00:25:32.069 D/ConnectivityService(  491): Done.
01-01 00:25:32.069 D/ConnectivityService(  491): Setting timer for 720seconds
--------- beginning of /dev/log/main
01-01 00:25:32.679 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:32.679 D/wpa_supplicant(  540): p2p0: BSS: Add new id 72 BSSID 00:1a:1e:55:e5:62 SSID 'synopsys-guest'
01-01 00:25:32.679 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:32.679 D/wpa_supplicant(  540): p2p0: BSS: Remove id 66 BSSID 20:4e:7f:32:b9:78 SSID 'videopnp' due to no match in scan
01-01 00:25:32.679 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:32.679 D/wpa_supplicant(  540): BSS: last_scan_res_used=13/32
01-01 00:25:32.679 D/wpa_supplicant(  540): p2p0: New scan results available (own=0 ext=0)
01-01 00:25:32.679 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:32.679 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:32.679 D/wpa_supplicant(  540): WPS: AP[0] 4c:e6:76:cc:61:5d type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:25:32.679 D/wpa_supplicant(  540): WPS: AP[1] 20:4e:7f:32:b9:78 type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:25:32.679 D/wpa_supplicant(  540): p2p0: No suitable network found
01-01 00:25:32.679 D/wpa_supplicant(  540): nl80211: wpa_driver_nl80211_event_receive->nl_recvmsgs failed: -11
01-01 00:25:32.679 D/wpa_supplicant(  540): wlan0: Control interface command 'BSS RANGE=0- MASK=0x21987'
01-01 00:25:35.279 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:25:37.059 I/dalvikvm(  491): Could not compile trace for Ljava/util/Arrays;fill, offset 5
01-01 00:25:37.059 I/dalvikvm(  491): ++++++++++++++++++++++++++++++++++++++++++++
01-01 00:25:37.059 I/dalvikvm(  491): JIT_INFO: ME Issues while compiling trace  Ljava/util/Arrays;fill, offset 5
01-01 00:25:37.059 I/dalvikvm(  491): 	The trace provoked a spill.
01-01 00:25:37.059 I/dalvikvm(  491): Trying less registerization from 1 to 0
01-01 00:25:37.489 D/KeyguardViewMediator(  551): setHidden false
01-01 00:25:37.489 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:25:37.489 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:25:37.979 W/AudioFlinger(  112): RecordThread: buffer overflow
01-01 00:25:37.979 W/AudioSource(  112): AudioRecord reported overrun!
01-01 00:25:38.279 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:25:38.749 D/KeyguardViewMediator(  551): setHidden false
01-01 00:25:38.749 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:25:38.749 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:25:40.029 W/AudioSource(  112): AudioRecord reported overrun!
01-01 00:25:41.289 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:25:42.579 D/KeyguardUpdateMonitor(  551): received broadcast android.intent.action.BATTERY_CHANGED
01-01 00:25:42.579 D/KeyguardUpdateMonitor(  551): handleBatteryUpdate
01-01 00:25:42.739 D/KeyguardViewMediator(  551): setHidden false
01-01 00:25:42.739 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:25:42.739 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:25:44.289 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:25:46.339 D/wpa_supplicant(  540): wlan0: Control interface command 'SCAN'
01-01 00:25:46.339 D/wpa_supplicant(  540): wlan0: Setting scan request: 0.000000 sec
01-01 00:25:46.339 D/wpa_supplicant(  540): wlan0: State: INACTIVE -> SCANNING
01-01 00:25:46.339 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:46.339 D/wpa_supplicant(  540): wlan0: Starting AP scan for wildcard SSID
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS: Building WPS IE for Probe Request
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Version (hardcoded 0x10)
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Request Type
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Config Methods (4288)
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * UUID-E
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Primary Device Type
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * RF Bands (1)
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Association State
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Configuration Error (0)
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Device Password ID (0)
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Manufacturer
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Model Name
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Model Number
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Device Name
01-01 00:25:46.339 D/wpa_supplicant(  540): WPS:  * Version2 (0x20)
01-01 00:25:46.339 D/wpa_supplicant(  540): P2P: * P2P IE header
01-01 00:25:46.339 D/wpa_supplicant(  540): P2P: * Capability dev=25 group=00
01-01 00:25:46.339 D/wpa_supplicant(  540): P2P: * Listen Channel: Regulatory Class 81 Channel 11
01-01 00:25:46.339 D/wpa_supplicant(  540): wlan0: Add radio work 'scan'@0xb7f1c790
01-01 00:25:46.339 D/wpa_supplicant(  540): wlan0: First radio work item in the queue - schedule start immediately
01-01 00:25:46.339 D/wpa_supplicant(  540): wlan0: Starting radio work 'scan'@0xb7f1c790 after 0.000081 second wait
01-01 00:25:46.339 D/wpa_supplicant(  540): wlan0: nl80211: scan request
01-01 00:25:46.339 D/wpa_supplicant(  540): Scan requested (ret=0) - scan timeout 30 seconds
01-01 00:25:46.339 D/wpa_supplicant(  540): nl80211: Drv Event 33 (NL80211_CMD_TRIGGER_SCAN) received for wlan0
01-01 00:25:46.339 D/wpa_supplicant(  540): wlan0: nl80211: Scan trigger
01-01 00:25:46.339 D/wpa_supplicant(  540): wlan0: Event SCAN_STARTED (49) received
01-01 00:25:46.339 D/wpa_supplicant(  540): wlan0: Own scan request started a scan in 0.000191 seconds
01-01 00:25:46.339 I/wpa_supplicant(  540): wlan0: CTRL-EVENT-SCAN-STARTED 
01-01 00:25:46.339 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:46.339 D/wpa_supplicant(  540): nl80211: wpa_driver_nl80211_event_receive->nl_recvmsgs failed: -11
01-01 00:25:46.969 D/wpa_supplicant(  540): nl80211: Drv Event 34 (NL80211_CMD_NEW_SCAN_RESULTS) received for wlan0
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: nl80211: New scan results available
01-01 00:25:46.969 D/wpa_supplicant(  540): nl80211: Scan probed for SSID ''
01-01 00:25:46.969 D/wpa_supplicant(  540): nl80211: Scan included frequencies: 2412 2417 2422 2427 2432 2437 2442 2447 2452 2457 2462 2467 2472
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: Event SCAN_RESULTS (3) received
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: Scan completed in 0.625869 seconds
01-01 00:25:46.969 D/wpa_supplicant(  540): nl80211: Received scan results (14 BSSes)
01-01 00:25:46.969 D/wpa_supplicant(  540): nl80211: Survey data missing
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: BSS: Start scan result update 107
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: BSS: Add new id 73 BSSID 20:4e:7f:32:b9:78 SSID 'videopnp'
01-01 00:25:46.969 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:46.969 D/wpa_supplicant(  540): BSS: last_scan_res_used=14/32
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: New scan results available (own=1 ext=0)
01-01 00:25:46.969 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:46.969 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:46.969 D/wpa_supplicant(  540): WPS: AP[0] 4c:e6:76:cc:61:5d type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:25:46.969 D/wpa_supplicant(  540): WPS: AP[1] 20:4e:7f:32:b9:78 type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: Radio work 'scan'@0xb7f1c790 done in 0.629152 seconds
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: No suitable network found
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: Use normal scan instead of sched_scan for initial scans (normal_scans=1)
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: Short-circuit new scan request since there are no enabled networks
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: State: SCANNING -> INACTIVE
01-01 00:25:46.969 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:46.969 D/wpa_supplicant(  540): P2P: Add operating class 81
01-01 00:25:46.969 D/wpa_supplicant(  540): P2P: Channels - hexdump(len=13): 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d
01-01 00:25:46.969 D/wpa_supplicant(  540): P2P: Update channel list
01-01 00:25:46.969 D/wpa_supplicant(  540): P2P: channels: 81:1,2,3,4,5,6,7,8,9,10,11,12,13
01-01 00:25:46.969 D/wpa_supplicant(  540): P2P: cli_channels:
01-01 00:25:46.969 D/wpa_supplicant(  540): P2P: indoor_channels:
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: Determining shared radio frequencies (max len 1)
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: Shared frequencies (len=0): completed iteration
01-01 00:25:46.969 D/wpa_supplicant(  540): p2p0: Updating scan results from sibling
01-01 00:25:46.969 D/wpa_supplicant(  540): nl80211: Received scan results (14 BSSes)
01-01 00:25:46.969 D/wpa_supplicant(  540): nl80211: Survey data missing
01-01 00:25:46.969 D/wpa_supplicant(  540): p2p0: BSS: Start scan result update 107
01-01 00:25:46.969 D/wpa_supplicant(  540): p2p0: BSS: Add new id 73 BSSID 20:4e:7f:32:b9:78 SSID 'videopnp'
01-01 00:25:46.969 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:46.969 D/wpa_supplicant(  540): BSS: last_scan_res_used=14/32
01-01 00:25:46.969 D/wpa_supplicant(  540): p2p0: New scan results available (own=0 ext=0)
01-01 00:25:46.969 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:46.969 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:25:46.969 D/wpa_supplicant(  540): WPS: AP[0] 4c:e6:76:cc:61:5d type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:25:46.969 D/wpa_supplicant(  540): WPS: AP[1] 20:4e:7f:32:b9:78 type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:25:46.969 D/wpa_supplicant(  540): p2p0: No suitable network found
01-01 00:25:46.969 D/wpa_supplicant(  540): nl80211: wpa_driver_nl80211_event_receive->nl_recvmsgs failed: -11
01-01 00:25:46.969 D/wpa_supplicant(  540): wlan0: Control interface command 'BSS RANGE=0- MASK=0x21987'
01-01 00:25:47.279 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:25:48.219 W/AudioFlinger(  112): RecordThread: buffer overflow
01-01 00:25:48.219 W/AudioSource(  112): AudioRecord reported overrun!
01-01 00:25:48.709 D/KeyguardViewMediator(  551): setHidden false
01-01 00:25:48.709 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:25:48.709 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:25:50.259 W/AudioSource(  112): AudioRecord reported overrun!
01-01 00:25:50.279 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:25:52.549 D/KeyguardUpdateMonitor(  551): received broadcast android.intent.action.BATTERY_CHANGED
01-01 00:25:52.549 D/KeyguardUpdateMonitor(  551): handleBatteryUpdate
01-01 00:25:52.989 W/AudioSource(  112): AudioRecord reported overrun!
01-01 00:25:53.279 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:25:55.219 D/KeyguardViewMediator(  551): setHidden false
01-01 00:25:55.219 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:25:55.219 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:25:56.289 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:25:59.289 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:25:59.309 D/KeyguardViewMediator(  551): setHidden false
01-01 00:25:59.309 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
01-01 00:25:59.309 D/KeyguardUpdateMonitor(  551): handleKeyguardVisibilityChanged(1)
01-01 00:26:00.009 D/KeyguardUpdateMonitor(  551): received broadcast android.intent.action.TIME_TICK
01-01 00:26:00.009 D/KeyguardUpdateMonitor(  551): handleTimeUpdate
01-01 00:26:01.359 D/wpa_supplicant(  540): wlan0: Control interface command 'SCAN'
01-01 00:26:01.359 D/wpa_supplicant(  540): wlan0: Setting scan request: 0.000000 sec
01-01 00:26:01.359 D/wpa_supplicant(  540): wlan0: State: INACTIVE -> SCANNING
01-01 00:26:01.359 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:26:01.359 D/wpa_supplicant(  540): wlan0: Starting AP scan for wildcard SSID
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS: Building WPS IE for Probe Request
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Version (hardcoded 0x10)
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Request Type
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Config Methods (4288)
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * UUID-E
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Primary Device Type
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * RF Bands (1)
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Association State
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Configuration Error (0)
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Device Password ID (0)
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Manufacturer
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Model Name
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Model Number
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Device Name
01-01 00:26:01.359 D/wpa_supplicant(  540): WPS:  * Version2 (0x20)
01-01 00:26:01.359 D/wpa_supplicant(  540): P2P: * P2P IE header
01-01 00:26:01.359 D/wpa_supplicant(  540): P2P: * Capability dev=25 group=00
01-01 00:26:01.359 D/wpa_supplicant(  540): P2P: * Listen Channel: Regulatory Class 81 Channel 11
01-01 00:26:01.359 D/wpa_supplicant(  540): wlan0: Add radio work 'scan'@0xb7f1f900
01-01 00:26:01.359 D/wpa_supplicant(  540): wlan0: First radio work item in the queue - schedule start immediately
01-01 00:26:01.359 D/wpa_supplicant(  540): wlan0: Starting radio work 'scan'@0xb7f1f900 after 0.000082 second wait
01-01 00:26:01.359 D/wpa_supplicant(  540): wlan0: nl80211: scan request
01-01 00:26:01.359 D/wpa_supplicant(  540): Scan requested (ret=0) - scan timeout 30 seconds
01-01 00:26:01.359 D/wpa_supplicant(  540): nl80211: Drv Event 33 (NL80211_CMD_TRIGGER_SCAN) received for wlan0
01-01 00:26:01.359 D/wpa_supplicant(  540): wlan0: nl80211: Scan trigger
01-01 00:26:01.359 D/wpa_supplicant(  540): wlan0: Event SCAN_STARTED (49) received
01-01 00:26:01.359 D/wpa_supplicant(  540): wlan0: Own scan request started a scan in 0.000192 seconds
01-01 00:26:01.359 I/wpa_supplicant(  540): wlan0: CTRL-EVENT-SCAN-STARTED 
01-01 00:26:01.359 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:26:01.359 D/wpa_supplicant(  540): nl80211: wpa_driver_nl80211_event_receive->nl_recvmsgs failed: -11
01-01 00:26:01.979 D/wpa_supplicant(  540): nl80211: Drv Event 34 (NL80211_CMD_NEW_SCAN_RESULTS) received for wlan0
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: nl80211: New scan results available
01-01 00:26:01.979 D/wpa_supplicant(  540): nl80211: Scan probed for SSID ''
01-01 00:26:01.979 D/wpa_supplicant(  540): nl80211: Scan included frequencies: 2412 2417 2422 2427 2432 2437 2442 2447 2452 2457 2462 2467 2472
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: Event SCAN_RESULTS (3) received
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: Scan completed in 0.624186 seconds
01-01 00:26:01.979 D/wpa_supplicant(  540): nl80211: Received scan results (14 BSSes)
01-01 00:26:01.979 D/wpa_supplicant(  540): nl80211: Survey data missing
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: BSS: Start scan result update 108
01-01 00:26:01.979 D/wpa_supplicant(  540): BSS: last_scan_res_used=14/32
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: New scan results available (own=1 ext=0)
01-01 00:26:01.979 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:26:01.979 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:26:01.979 D/wpa_supplicant(  540): WPS: AP[0] 4c:e6:76:cc:61:5d type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:26:01.979 D/wpa_supplicant(  540): WPS: AP[1] 20:4e:7f:32:b9:78 type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: Radio work 'scan'@0xb7f1f900 done in 0.627533 seconds
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: No suitable network found
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: Use normal scan instead of sched_scan for initial scans (normal_scans=1)
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: Short-circuit new scan request since there are no enabled networks
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: State: SCANNING -> INACTIVE
01-01 00:26:01.979 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:26:01.979 D/wpa_supplicant(  540): P2P: Add operating class 81
01-01 00:26:01.979 D/wpa_supplicant(  540): P2P: Channels - hexdump(len=13): 01 02 03 04 05 06 07 08 09 0a 0b 0c 0d
01-01 00:26:01.979 D/wpa_supplicant(  540): P2P: Update channel list
01-01 00:26:01.979 D/wpa_supplicant(  540): P2P: channels: 81:1,2,3,4,5,6,7,8,9,10,11,12,13
01-01 00:26:01.979 D/wpa_supplicant(  540): P2P: cli_channels:
01-01 00:26:01.979 D/wpa_supplicant(  540): P2P: indoor_channels:
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: Determining shared radio frequencies (max len 1)
01-01 00:26:01.979 D/wpa_supplicant(  540): wlan0: Shared frequencies (len=0): completed iteration
01-01 00:26:01.979 D/wpa_supplicant(  540): p2p0: Updating scan results from sibling
01-01 00:26:01.989 D/wpa_supplicant(  540): nl80211: Received scan results (14 BSSes)
01-01 00:26:01.989 D/wpa_supplicant(  540): nl80211: Survey data missing
01-01 00:26:01.989 D/wpa_supplicant(  540): p2p0: BSS: Start scan result update 108
01-01 00:26:01.989 D/wpa_supplicant(  540): BSS: last_scan_res_used=14/32
01-01 00:26:01.989 D/wpa_supplicant(  540): p2p0: New scan results available (own=0 ext=0)
01-01 00:26:01.989 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:26:01.989 D/wpa_supplicant(  540): CTRL_IFACE monitor sent successfully to /data/misc/wifi/sockets/wpa_ctrl_491-2\x00
01-01 00:26:01.989 D/wpa_supplicant(  540): WPS: AP[0] 4c:e6:76:cc:61:5d type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:26:01.989 D/wpa_supplicant(  540): WPS: AP[1] 20:4e:7f:32:b9:78 type=0 tries=0 last_attempt=-1 sec ago blacklist=0
01-01 00:26:01.989 D/wpa_supplicant(  540): p2p0: No suitable network found
01-01 00:26:01.989 D/wpa_supplicant(  540): nl80211: wpa_driver_nl80211_event_receive->nl_recvmsgs failed: -11
01-01 00:26:01.989 D/wpa_supplicant(  540): wlan0: Control interface command 'BSS RANGE=0- MASK=0x21987'
01-01 00:26:02.289 W/CameraSource(  112): Timed out waiting for incoming camera video frames: 1098650215 us
01-01 00:26:02.589 D/KeyguardUpdateMonitor(  551): received broadcast android.intent.action.BATTERY_CHANGED
01-01 00:26:02.589 D/KeyguardUpdateMonitor(  551): handleBatteryUpdate
01-01 00:26:02.669 D/KeyguardViewMediator(  551): setHidden false
01-01 00:26:02.669 D/KeyguardUpdateMonitor(  551): sendKeyguardVisibilityChanged(true)
